road,tract
67,29
35,24
82,1
89,1
66,29
66,29
79,1
150,27
66,27
66,29
67,29
99,29
89,1
63,30
63,30
66,7
63,7
89,1
89,43
152,43
89,43
82,1
82,1
153,32
153,32
92,32
76,21
72,0
72,0
72,0
72,0
0,22
0,1
0,1
35,0
36,1
76,22
76,22
76,22
0,1
0,1
72,1
72,1
72,1
48,1
76,17
76,17
76,17
1,1
45,17
154,15
35,15
82,1
155,3
35,14
35,14
156,3
15,9
92,32
58,9
58,9
58,9
156,3
58,9
58,9
58,9
58,9
58,9
58,9
103,36
58,9
58,4
58,4
3,3
0,3
0,3
47,3
157,35
157,35
18,60
158,35
158,35
158,35
158,35
75,23
158,35
159,39
30,39
107,39
58,4
59,4
160,23
76,39
76,39
160,23
161,23
76,39
76,39
160,23
76,31
58,4
76,31
76,31
72,0
72,0
76,31
76,31
162,31
58,23
58,23
18,23
105,37
103,37
58,23
103,38
58,23
103,38
163,62
163,61
163,61
103,38
163,61
163,61
106,38
164,60
103,38
164,60
165,60
103,38
122,48
164,60
164,23
122,48
166,23
122,48
166,23
122,48
75,23
122,48
122,48
122,48
122,49
58,4
11,4
122,49
58,23
122,49
122,49
58,23
58,31
58,31
58,63
58,63
58,31
167,23
58,63
58,31
58,63
58,63
75,23
168,63
54,31
58,21
54,31
54,31
88,21
58,9
58,9
58,9
3,3
3,3
97,31
97,31
58,9
97,31
169,21
97,21
97,21
170,3
58,9
0,3
0,3
0,3
3,3
3,3
97,21
3,3
97,21
3,3
97,21
3,3
97,3
3,3
97,3
3,3
97,3
0,22
97,3
0,22
97,3
35,0
97,3
97,3
4,3
51,1
51,1
51,1
122,48
51,1
122,48
171,49
89,1
89,1
122,49
125,49
122,49
89,1
58,31
58,31
89,1
58,31
172,1
58,31
89,1
89,1
58,31
97,31
89,1
82,1
82,1
82,1
89,1
89,1
122,48
89,1
173,48
122,48
172,1
89,1
89,1
122,48
122,46
103,38
85,1
85,1
174,44
85,1
175,44
122,44
85,1
174,44
174,64
85,1
85,1
174,64
85,1
174,64
85,43
122,44
49,43
49,0
119,45
174,64
119,45
119,45
122,46
119,45
122,46
119,45
119,45
176,45
120,45
120,0
174,64
177,65
174,65
120,0
174,65
174,65
120,0
178,65
121,0
174,65
174,66
119,45
180,66
179,66
119,45
181,65
181,66
181,66
179,66
120,45
120,45
120,45
120,45
120,45
182,46
182,46
182,46
182,46
120,45
120,45
183,67
120,45
183,67
120,45
120,45
183,67
183,67
120,45
119,45
124,49
119,45
119,45
119,45
102,58
121,0
125,49
122,49
125,49
126,1
89,1
126,1
58,31
126,1
126,1
126,0
58,31
86,0
184,48
185,48
86,0
86,0
86,0
120,45
120,45
124,49
120,45
124,49
120,45
120,45
124,49
102,49
120,45
120,45
186,49
123,45
120,45
120,45
120,45
120,45
82,1
82,1
89,1
187,48
51,1
42,40
51,1
36,1
51,1
182,36
182,36
51,1
182,36
182,38
182,38
182,38
106,38
40,24
182,38
36,24
40,24
188,28
40,51
40,51
42,40
40,51
40,51
40,51
189,52
134,52
40,53
39,53
42,40
191,53
192,53
194,68
195,41
192,68
197,68
198,68
195,41
192,68
199,41
195,41
192,68
200,41
192,69
192,69
192,70
192,70
199,41
199,41
192,70
195,41
195,41
199,41
195,41
192,70
201,70
200,41
192,71
202,71
192,70
192,70
195,41
192,70
192,70
192,70
192,70
192,70
192,71
192,71
203,72
192,71
113,42
192,71
113,42
204,72
192,71
115,41
205,71
192,71
192,71
110,41
112,41
204,72
113,41
112,41
113,41
108,41
204,72
192,71
207,71
192,71
195,41
195,41
192,70
195,41
192,70
204,19
192,70
192,70
195,41
208,41
192,70
192,70
192,70
192,70
192,70
209,70
204,19
204,19
192,70
204,19
204,19
192,70
204,19
192,70
204,19
192,70
210,70
204,19
36,19
41,19
211,19
212,19
213,73
213,74
214,73
212,19
33,19
52,19
213,74
213,73
212,19
213,73
215,19
215,19
213,73
213,73
213,75
216,76
213,73
213,73
213,75
103,19
196,77
216,76
213,75
217,75
204,19
103,19
196,70
218,75
219,70
220,19
103,19
196,70
215,19
103,19
221,70
222,75
223,75
215,19
224,75
223,75
225,78
226,76
227,78
223,75
228,76
229,78
226,76
226,76
223,75
223,75
111,76
229,78
230,79
182,40
230,79
230,79
103,40
230,79
103,40
230,79
103,40
231,78
231,78
231,78
103,36
103,36
233,79
103,38
103,38
103,38
103,38
233,79
230,80
103,38
230,79
106,38
224,78
103,38
231,78
224,78
103,38
122,48
35,52
122,48
234,81
35,68
122,48
235,68
237,53
122,48
238,68
240,82
122,48
185,47
122,48
240,82
35,68
240,82
240,74
122,49
122,49
241,82
231,78
192,68
242,78
30,31
231,78
30,31
30,31
198,68
240,83
30,31
30,31
30,31
239,68
30,21
243,83
30,21
244,84
30,21
30,21
30,21
240,84
239,77
0,22
0,1
35,0
35,1
239,77
35,1
35,1
35,1
35,1
36,1
239,70
239,70
239,70
239,70
239,71
239,71
239,70
239,70
245,71
36,1
43,1
43,1
43,1
40,24
239,71
40,24
239,71
40,24
72,1
51,1
51,1
36,24
65,28
72,1
51,1
51,1
63,26
72,1
63,26
63,27
72,1
246,27
63,30
63,27
66,29
63,30
35,14
63,27
36,28
92,29
63,54
63,7
247,28
63,7
63,5
35,24
63,5
35,24
63,5
91,24
35,24
35,24
40,24
63,2
63,2
5,2
40,24
35,51
35,51
35,51
144,51
40,51
5,2
35,52
5,5
248,52
1,1
51,1
5,5
82,1
82,1
2,2
2,5
2,5
249,1
249,1
249,1
249,1
249,1
19,13
249,1
20,12
48,14
29,6
129,14
48,14
133,7
13,7
129,14
36,14
48,14
251,14
13,7
129,14
66,5
172,14
13,7
36,14
36,14
13,7
138,7
13,7
36,14
62,14
62,14
36,14
62,14
40,14
22,14
35,15
22,15
22,15
22,15
36,14
36,24
36,24
23,15
22,15
25,15
25,15
40,24
40,24
36,24
25,15
25,16
25,16
25,16
25,16
252,25
63,26
63,26
63,27
27,16
63,26
63,27
22,6
25,6
253,6
25,6
63,27
22,6
28,6
63,27
63,30
254,30
28,6
63,27
29,6
29,6
63,54
158,35
187,35
63,7
185,35
14,7
158,35
63,2
158,35
5,2
5,2
5,2
158,35
159,39
107,39
107,39
76,39
72,18
100,18
100,18
76,39
2,2
2,5
36,0
2,5
2,5
35,0
35,0
35,1
43,1
35,1
20,12
20,85
20,85
13,13
36,1
20,86
25,14
35,14
106,38
255,86
103,38
103,38
122,48
122,48
122,48
256,87
187,35
122,48
20,88
187,35
20,88
187,47
187,47
20,88
187,47
122,48
187,47
20,88
258,87
20,88
20,88
20,88
187,47
15,90
20,89
122,48
20,90
122,48
20,90
20,90
20,90
122,48
20,90
20,90
122,48
92,55
92,55
35,55
35,55
122,48
92,51
92,51
185,48
185,48
35,51
185,48
92,51
35,51
35,51
185,48
186,49
92,51
186,49
35,51
186,49
144,51
186,49
144,51
58,31
54,31
144,51
95,31
99,90
95,31
95,31
20,56
35,24
30,31
30,31
40,24
30,31
94,24
30,21
30,21
30,21
30,21
30,21
30,21
40,24
30,21
92,29
92,29
35,28
0,22
35,28
0,1
35,0
35,1
43,1
92,54
92,54
35,1
43,1
35,1
43,1
35,1
6,3
51,1
6,3
60,1
6,3
43,1
6,3
6,3
6,8
172,14
36,14
6,17
22,14
36,14
36,14
22,14
35,15
76,17
22,15
92,14
259,17
22,15
92,17
22,15
22,14
35,14
22,15
92,32
92,32
23,15
22,15
22,15
25,15
35,24
92,32
22,15
92,32
22,15
35,24
15,9
15,9
22,16
6,3
6,3
25,16
6,3
25,16
22,16
6,3
25,6
22,6
25,6
6,3
6,3
15,9
22,6
15,9
15,9
132,6
132,6
15,9
15,9
133,6
